id,date,amount,type,metadata
1,2024-01-01,100000,revenue,"{""source"":""investor""}"
2,2024-01-05,-5000,expense,"{""category"":""server""}"
3,2024-01-10,-15000,payroll,
4,2024-01-15,-2000,expense,"{""category"":""software""}"
5,2024-01-20,50000,revenue,"{""source"":""sales""}"
6,2024-01-25,-15000,payroll,
7,2024-02-01,-6000,expense,"{""category"":""ads""}"
8,2024-02-05,-20000,vendor,
9,2024-02-10,30000,revenue,
10,2024-02-15,-15000,payroll,
11,2024-02-20,-8000,expense,"{""category"":""travel""}"
12,2024-02-25,-1000,expense,"{""category"":""meals""}"
13,2024-03-01,40000,revenue,
14,2024-03-05,-15000,payroll,
15,2024-03-10,-12000,expense,"{""category"":""contractor""}"
16,2024-03-15,-3000,expense,"{""category"":""software""}"
17,2024-03-20,20000,revenue,
18,2024-03-25,-15000,payroll,
19,2024-04-01,-9000,expense,"{""category"":""ads""}"
20,2024-04-05,-25000,vendor,
21,2024-04-10,35000,revenue,
22,2024-04-15,-15000,payroll,
23,2024-04-20,-11000,expense,"{""category"":""travel""}"
24,2024-04-25,-2000,expense,"{""category"":""meals""}"
25,2024-05-01,45000,revenue,
26,2024-05-05,-15000,payroll,
27,2024-05-10,-14000,expense,"{""category"":""contractor""}"
28,2024-05-15,-4000,expense,"{""category"":""software""}"
29,2024-05-20,25000,revenue,
30,2024-05-25,-15000,payroll,
31,2024-06-01,-10000,expense,"{""category"":""ads""}"
32,2024-06-05,-30000,vendor,
33,2024-06-10,40000,revenue,
34,2024-06-15,-15000,payroll,
35,2024-06-20,-13000,expense,"{""category"":""travel""}"
36,2024-06-25,-3000,expense,"{""category"":""meals""}"
37,2024-07-01,50000,revenue,
38,2024-07-05,-15000,payroll,
39,2024-07-10,-16000,expense,"{""category"":""contractor""}"
40,2024-07-15,-5000,expense,"{""category"":""software""}"
41,2024-07-20,30000,revenue,
42,2024-07-25,-15000,payroll,
43,2024-08-01,-12000,expense,"{""category"":""ads""}"
44,2024-08-05,-35000,vendor,
45,2024-08-10,45000,revenue,
46,2024-08-15,-15000,payroll,
47,2024-08-20,-15000,expense,"{""category"":""travel""}"
48,2024-08-25,-4000,expense,"{""category"":""meals""}"
49,2024-09-01,55000,revenue,
50,2024-09-05,-15000,payroll,
